,cars,demands,labels,locations,megacluster,streetName,streetSide,clusterID
2090,1.166666667,0.166666667,B441204,"[446424.3777, 4642821.847]",0,W OAKDALE AVE,S,13
2091,1.958333333,0.125,B441205,"[446406.3669, 4642822.038]",0,W OAKDALE AVE,N,13
2092,3.222222222,0.296296296,B441206,"[446333.2036, 4642858.48]",0,N CLARK ST,E,13
2093,1.043478261,0.173913043,B441207,"[446329.8508, 4642922.477]",0,W WELLINGTON AVE,N,13
2094,2.038461538,0.307692308,B441208,"[446239.6178, 4643017.092]",0,N CLARK ST,E,13
2095,1.0,0.090909091,B441209,"[446259.4369, 4643079.693]",0,W BARRY AVE,S,13
2096,1.869565217,0.217391304,B441210,"[446251.3107, 4642990.253]",0,N CLARK ST,W,13
2097,3.090909091,0.272727273,B441211,"[446321.5718, 4642871.529]",0,N CLARK ST,W,13
2098,2.761904762,0.285714286,B441212,"[446399.4748, 4642741.224]",0,N CLARK ST,W,13
2099,4.0,0.454545455,B441213,"[446494.1129, 4642580.996]",0,N CLARK ST,W,13
2100,1.25,0.104166667,B442201,"[446135.2098, 4643111.594]",0,W BARRY AVE,S,13
2101,1.387755102,0.142857143,B442202,"[446136.0677, 4643114.744]",0,W BARRY AVE,N,13
2102,2.513513514,0.243243243,B442203,"[446156.7829, 4643156.125]",0,N CLARK ST,W,13
2103,1.463414634,0.12195122,B442204,"[446088.6787, 4643206.654]",0,W FLETCHER ST,S,13
2104,1.609756098,0.365853659,B442205,"[446078.9166, 4643209.441]",0,W FLETCHER ST,N,13
2105,7.333333333,0.743589744,B442206,"[446085.6473, 4643268.65]",0,N CLARK ST,W,13
2106,5.457142857,0.571428571,B442207,"[446096.5623, 4643256.549]",0,N CLARK ST,E,13
2107,6.0,0.818181818,B442208,"[446178.0105, 4643206.419]",0,N HALSTED ST,W,13
2108,5.846153846,0.692307692,B442209,"[446174.3678, 4643452.013]",0,N HALSTED ST,W,13
2109,1.50877193,0.105263158,B442211,"[446177.6838, 4643464.173]",0,N HALSTED ST,E,13
2110,1.096153846,0.25,B442212,"[446211.3379, 4643437.943]",0,W MELROSE ST,N,13
2111,2.15,0.25,B442213,"[446177.8606, 4643406.851]",0,N HALSTED ST,E,13
2112,1.840909091,0.068181818,B442214,"[446219.4569, 4643313.493]",0,W BELMONT AVE,S,13
2113,2.963636364,0.254545455,B442215,"[446180.5817, 4643259.678]",0,N HALSTED ST,E,13
2114,0.431372549,0.058823529,B442216,"[446181.2377, 4643192.161]",0,N HALSTED ST,E,13
2115,8.47826087,1.217391304,B443201,"[445991.9534, 4643433.626]",0,N CLARK ST,E,13
2116,0.706896552,0.155172414,B443203,"[445978.4474, 4643514.309]",0,W ALDINE AVE,S,13
2117,3.075,0.525,B443204,"[445914.4989, 4643562.367]",0,N CLARK ST,E,13
2118,4.627906977,0.604651163,B443205,"[445870.7043, 4643636.523]",0,N CLARK ST,E,13
2119,2.263157895,0.184210526,B443206,"[445798.186, 4643763.343]",0,N CLARK ST,E,13
2120,0.913793103,0.155172414,B443207,"[445801.4061, 4643813.824]",0,W NEWPORT AVE,S,13
2121,1.017241379,0.206896552,B443208,"[445797.65, 4643816.954]",0,W NEWPORT AVE,N,13
2122,1.403508772,0.263157895,B443209,"[445768.8293, 4643849.681]",0,N SHEFFIELD AVE,E,13
2123,1.2,0.066666667,B443210,"[445783.9205, 4644122.799]",0,W ADDISON ST,S,13
2124,2.210526316,0.333333333,B443212,"[445765.9327, 4643863.437]",0,N SHEFFIELD AVE,W,13
2125,0.525423729,0.152542373,B443213,"[445726.2017, 4643821.486]",0,W NEWPORT AVE,N,13
2126,0.559322034,0.220338983,B443214,"[445737.7985, 4643818.74]",0,W NEWPORT AVE,S,13
2127,1.285714286,0.126984127,B443215,"[445767.5889, 4643774.597]",0,N SHEFFIELD AVE,W,13
2128,0.810344828,0.120689655,B443216,"[445771.7153, 4643747.207]",0,N SHEFFIELD AVE,E,13
2129,1.050847458,0.152542373,B443217,"[445797.0205, 4643719.767]",0,W ROSCOE ST,N,13
2130,1.076923077,0.123076923,B443218,"[445798.0545, 4643716.88]",0,W ROSCOE ST,S,13
2131,5.0,0.595238095,B443219,"[445855.3462, 4643656.245]",0,N CLARK ST,W,13
2132,3.666666667,0.476190476,B443220,"[445908.8017, 4643566.121]",0,N CLARK ST,W,13
2133,1.13559322,0.152542373,B443221,"[445895.5813, 4643516.269]",0,W SCHOOL ST,N,13
2134,1.54,0.06,B443222,"[445896.7803, 4643513.158]",0,W SCHOOL ST,S,13
2135,6.48,0.88,B443223,"[445980.1633, 4643447.451]",0,N CLARK ST,W,13
2136,0.892857143,0.142857143,B443225,"[445803.0146, 4643747.799]",0,N CLARK ST,W,13
2137,0.528301887,0.037735849,B443226,"[445922.5988, 4643611.484]",0,W BUCKINGHAM PL,N,13
2138,0.813953488,0.11627907,B443227,"[445901.4039, 4644127.663]",0,W ADDISON ST,N,13
2139,1.75,0.15,B444201,"[445781.6836, 4642977.315]",0,N SHEFFIELD AVE,W,13
2140,4.833333333,0.722222222,B444202,"[445776.6149, 4643274.712]",0,N SHEFFIELD AVE,W,13
2141,1.314285714,0.171428571,B444204,"[445779.9028, 4643188.344]",0,N SHEFFIELD AVE,E,13
2142,1.5,0.25,B444205,"[445781.8397, 4643085.26]",0,N SHEFFIELD AVE,E,13
2143,4.523809524,0.571428571,B444208,"[445784.8434, 4642983.439]",0,N SHEFFIELD AVE,E,13
2144,1.052631579,0.131578947,B444209,"[445819.9449, 4642906.185]",0,W WELLINGTON AVE,N,13
2145,2.416666667,0.361111111,B444212,"[445753.5627, 4642905.583]",0,W WELLINGTON AVE,S,13
2146,2.804878049,0.268292683,B445201,"[445714.9153, 4643311.791]",0,W BELMONT AVE,N,13
2147,0.952380952,0.166666667,B445202,"[445678.7293, 4643333.944]",0,N KENMORE AVE,E,13
2148,0.952380952,0.119047619,B445203,"[445674.0241, 4643336.583]",0,N KENMORE AVE,W,13
2149,1.707317073,0.097560976,B445204,"[445615.5088, 4643310.17]",0,W BELMONT AVE,N,13
2150,0.348837209,0.069767442,B445205,"[445585.543, 4643309.679]",0,N SEMINARY AVE,E,13
2151,0.738095238,0.238095238,B445206,"[445573.6877, 4643322.287]",0,N SEMINARY AVE,W,13
2152,2.475,0.25,B445207,"[445526.8362, 4643309.187]",0,W BELMONT AVE,N,13
2153,0.55,0.075,B445208,"[445484.2532, 4643308.96]",0,N CLIFTON AVE,E,13
2154,1.447368421,0.131578947,B445209,"[445412.9262, 4643308.234]",0,W BELMONT AVE,N,13
2155,3.435897436,0.384615385,B445210,"[445445.9254, 4643305.489]",0,W BELMONT AVE,S,13
2156,1.051282051,0.205128205,B445211,"[445477.0878, 4643287.969]",0,N CLIFTON AVE,E,13
2157,3.756756757,0.513513514,B445212,"[445525.5897, 4643306.096]",0,W BELMONT AVE,S,13
