,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: B297308,0,0,1,0,0,0,0,0,True,0,0,0,0
1,B297308,0,120,1,1,120,0,0,0,False,0,0,0,0
2,B296320,0,606,1,2,240,5,120,317,False,2,4,0,237
3,B296319,0,796,1,3,360,10,180,320,False,3,7,0,239
4,B296305,0,1042,1,4,480,17,240,388,False,4,16,0,289
5,B296307,0,1330,1,5,600,49,300,473,False,5,28,0,353
6,B296306,0,1530,1,6,720,59,360,479,False,6,34,0,357
7,B296311,0,1790,1,7,840,74,420,544,False,7,51,0,405
8,B296309,0,2018,1,8,960,102,420,631,False,7,66,0,470
9,B296317,0,2221,1,9,1080,115,480,635,False,8,73,0,473
10,B295314,0,2488,1,10,1200,120,540,741,False,9,76,0,552
11,B295301,0,2759,1,11,1320,162,600,753,False,10,116,0,561
12,B295303,0,3232,1,12,1440,216,660,1010,False,11,164,1,752
13,B295311,0,3636,1,13,1560,249,720,1210,False,12,206,1,901
14,B295309,0,4059,1,14,1680,281,780,1425,False,13,256,2,1062
15,B295307,0,4397,1,15,1800,318,840,1528,False,14,301,2,1138
16,B295305,0,4613,1,16,1920,331,840,1619,False,14,316,2,1206
17,B295313,0,5082,1,17,2040,370,900,1878,False,15,372,3,1400
18,B296322,0,5550,1,18,2160,390,960,2211,False,16,392,3,1648
19,B296315,0,5740,1,19,2280,392,1020,2218,False,17,395,3,1653
20,B296310,0,5983,1,20,2400,403,1020,2360,False,17,401,3,1759
21,B296321,0,6304,1,21,2520,474,1020,2464,False,17,453,3,1837
22,B296312,0,6508,1,22,2640,484,1080,2469,False,18,463,3,1841
23,B296313,0,6699,1,23,2760,495,1080,2537,False,18,472,3,1892
24,B296301,0,7096,1,24,2880,577,1140,2648,False,19,524,4,1975
25,B297310,0,7444,1,25,3000,634,1200,2730,False,20,574,4,2036
26,starting by termial: B297308,0,0,2,0,0,0,0,0,True,0,0,0,0
27,B299316,0,1050,2,1,120,0,360,764,False,6,0,0,570
28,B299315,0,1469,2,2,240,115,360,854,False,6,117,0,637
29,B299314,0,1699,2,3,360,145,360,912,False,6,154,1,680
30,B299304,0,2127,2,4,480,220,420,1020,False,7,247,2,760
31,B300320,0,2633,2,5,600,267,540,1271,False,9,279,2,947
32,B300307,0,2848,2,6,720,307,540,1288,False,9,322,2,959
33,B300303,0,3432,2,7,840,418,660,1504,False,11,394,3,1120
34,B300301,0,3741,2,8,960,469,720,1537,False,12,448,3,1144
35,B397305,0,4033,2,9,1080,517,720,1647,False,12,490,4,1226
36,B300302,0,4358,2,10,1200,535,780,1789,False,13,511,4,1332
37,B397301,0,4709,2,11,1320,570,840,1921,False,14,549,4,1430
38,B397303,0,5603,2,12,1440,800,960,2203,False,16,762,6,1641
39,B397304,0,6246,2,13,1560,920,1080,2431,False,18,875,7,1811
40,B298308,0,7094,2,14,1680,959,1260,3086,False,21,896,7,2299
41,starting by termial: B297308,0,0,3,0,0,0,0,0,True,0,0,0,0
42,B297311,0,255,3,1,120,0,60,101,False,1,0,0,75
43,B295316,0,1236,3,2,240,3,360,848,False,6,1,0,632
44,B295317,0,1536,3,3,360,33,360,1000,False,6,38,0,745
45,B299318,0,2384,3,4,480,78,660,1449,False,11,86,0,1080
46,B299310,0,2873,3,5,600,99,780,1722,False,13,110,0,1284
47,B299306,0,3174,3,6,720,160,840,1772,False,14,133,1,1321
48,B299311,0,3558,3,7,840,260,900,1836,False,15,189,1,1369
49,B299312,0,3835,3,8,960,315,900,1955,False,15,202,1,1458
50,B299313,0,4177,3,9,1080,374,900,2162,False,15,211,1,1612
51,B299303,0,4626,3,10,1200,481,960,2238,False,16,317,2,1668
52,B299302,0,5150,3,11,1320,582,1020,2351,False,17,476,3,1752
53,B299301,0,5485,3,12,1440,672,1020,2434,False,17,539,4,1814
54,B298309,0,5856,3,13,1560,730,1080,2544,False,18,590,4,1896
55,B298310,0,6244,3,14,1680,749,1200,2677,False,20,620,5,1995
56,B298307,0,6516,3,15,1800,754,1260,2787,False,21,625,5,2077
57,B298311,0,6752,3,16,1920,765,1320,2831,False,22,637,5,2110
